,dia,ponto1,ponto2,ponto3,ponto4
0,2022-12-23,0 days 08:29:00,0 days 12:14:00,0 days 13:45:00,0 days 18:05:00
1,2022-12-22,0 days 08:32:00,0 days 12:00:00,0 days 13:30:00,0 days 17:58:00
2,2022-12-21,0 days 08:25:00,0 days 12:00:00,0 days 15:04:00,0 days 18:28:00
3,2022-12-20,0 days 08:11:00,0 days 12:16:00,0 days 13:31:00,0 days 19:19:00
4,2022-12-19,0 days 08:31:00,0 days 12:10:00,0 days 13:40:00,0 days 18:00:00
5,2022-12-16,0 days 08:27:00,0 days 12:24:00,0 days 14:00:00,0 days 18:14:00
6,2022-12-15,0 days 08:29:00,0 days 12:07:00,0 days 13:41:00,0 days 18:06:00
7,2022-12-14,0 days 08:29:00,0 days 12:22:00,0 days 13:53:00,0 days 18:06:00
8,2022-12-13,0 days 08:28:00,0 days 12:00:00,0 days 13:30:00,0 days 18:14:00
9,2022-12-12,0 days 08:29:00,0 days 12:06:00,0 days 13:39:00,0 days 18:07:00
11,2022-12-08,0 days 08:29:00,0 days 12:16:00,0 days 13:47:00,0 days 18:23:00
12,2022-12-07,0 days 08:30:00,0 days 12:29:00,0 days 13:53:00,0 days 18:10:00
13,2022-12-06,0 days 08:29:00,0 days 12:03:00,0 days 13:32:00,0 days 18:16:00
14,2022-12-05,0 days 08:30:00,0 days 12:27:00,0 days 14:04:00,0 days 17:59:00
15,2022-12-02,0 days 08:32:00,0 days 12:13:00,0 days 13:37:00,0 days 15:56:00
16,2022-12-01,0 days 08:25:00,0 days 12:11:00,0 days 13:43:00,0 days 18:02:00
17,2022-11-30,0 days 08:24:00,0 days 12:30:00,0 days 13:52:00,0 days 18:05:00
18,2022-11-29,0 days 08:25:00,0 days 11:54:00,0 days 13:31:00,0 days 18:37:00
20,2022-11-25,0 days 11:35:00,0 days 12:03:00,0 days 13:37:00,0 days 18:01:00
21,2022-11-24,0 days 08:30:00,0 days 12:22:00,0 days 13:49:00,0 days 15:47:00
22,2022-11-23,0 days 08:28:00,0 days 11:52:00,0 days 13:23:00,0 days 18:03:00
23,2022-11-22,0 days 08:29:00,0 days 12:22:00,0 days 13:48:00,0 days 18:04:00
24,2022-11-21,0 days 08:28:00,0 days 12:08:00,0 days 13:47:00,0 days 18:17:00
25,2022-11-18,0 days 08:29:00,0 days 11:58:00,0 days 13:44:00,0 days 18:16:00
26,2022-11-17,0 days 08:30:00,0 days 12:08:00,0 days 13:40:00,0 days 18:07:00
27,2022-11-16,0 days 08:30:00,0 days 11:54:00,0 days 13:39:00,0 days 18:13:00
28,2022-11-14,0 days 08:29:00,0 days 12:05:00,0 days 13:37:00,0 days 17:59:00
29,2022-11-11,0 days 08:30:00,0 days 12:06:00,0 days 13:33:00,0 days 18:00:00
30,2022-11-10,0 days 08:29:00,0 days 12:18:00,0 days 13:47:00,0 days 18:05:00
31,2022-11-09,0 days 08:29:00,0 days 12:15:00,0 days 13:41:00,0 days 17:59:00
32,2022-11-08,0 days 08:27:00,0 days 11:47:00,0 days 13:32:00,0 days 18:11:00
33,2022-11-07,0 days 08:31:00,0 days 12:18:00,0 days 13:53:00,0 days 18:14:00
34,2022-11-04,0 days 08:27:00,0 days 12:17:00,0 days 13:41:00,0 days 18:04:00
35,2022-11-03,0 days 08:29:00,0 days 12:12:00,0 days 13:42:00,0 days 18:09:00
36,2022-11-01,0 days 08:30:00,0 days 12:10:00,0 days 13:41:00,0 days 18:12:00
37,2022-10-31,0 days 08:29:00,0 days 12:12:00,0 days 13:44:00,0 days 18:15:00
38,2022-10-28,0 days 08:28:00,0 days 12:00:00,0 days 13:28:00,0 days 18:08:00
39,2022-10-27,0 days 08:29:00,0 days 12:11:00,0 days 13:48:00,0 days 18:03:00
40,2022-10-26,0 days 08:28:00,0 days 11:57:00,0 days 13:30:00,0 days 18:02:00
41,2022-10-25,0 days 08:28:00,0 days 12:11:00,0 days 14:20:00,0 days 18:43:00
42,2023-06-23,0 days 08:40:00,0 days 11:42:00,0 days 13:09:00,0 days 18:09:00
43,2023-06-22,0 days 08:41:00,0 days 12:19:00,0 days 13:38:00,0 days 18:14:00
44,2023-06-21,0 days 08:33:00,0 days 11:55:00,0 days 13:35:00,0 days 18:06:00
45,2023-06-20,0 days 08:36:00,0 days 11:50:00,0 days 13:43:00,0 days 18:05:00
46,2023-06-19,0 days 08:44:00,0 days 12:19:00,0 days 14:02:00,0 days 18:02:00
47,2023-06-15,0 days 08:42:00,0 days 12:01:00,0 days 13:35:00,0 days 18:07:00
48,2023-06-14,0 days 08:42:00,0 days 11:50:00,0 days 13:52:00,0 days 18:13:00
49,2023-06-13,0 days 08:37:00,0 days 12:00:00,0 days 13:41:00,0 days 18:07:00
51,2023-06-09,0 days 08:36:00,0 days 12:44:00,0 days 14:07:00,0 days 18:17:00
52,2023-06-07,0 days 08:37:00,0 days 12:05:00,0 days 13:57:00,0 days 18:21:00
